name,dataset,model,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),preprocess,inference,loss,postprocess,speed
202412151601_train_yolo11x-FDPN-DASI_sample_epochs500,sample,val_last,0.7146370841719223,0.9847628591372327,0.6846231091757766,0.9768581817841328,0.963753847265171,0.1680304022396312,15.49985969767851,0.0007278778973747701,1.8086713903090532,17.47728936812457
202412081827_train_yolo11x-C3k2-HDRAB_sample_epochs500,sample,val_best,,,,,,,,,,
202412121156_train_yolo11x-C3k2-IDWC_sample_epochs500,sample,val_best,0.7061006287198592,0.9846316730523624,0.6751527349051367,0.981651488768619,0.9666291469911552,0.1317711437449736,7.968598253586713,0.010312304777257583,1.0403717265409582,9.151053428649902
202412121156_train_yolo11x-C3k2-IDWC_sample_epochs500,sample,val_last,0.7103407176140875,0.9850749930972432,0.6798146870048479,0.9840324962858787,0.9701605585158036,0.17076380112591913,7.330751419067383,0.0075718935798196225,1.44652338588939,8.955610499662512
202412220423_train_yolo11s_sample_epochs500,sample,val_best,0.7125123219737278,0.9860480364794899,0.6821194648064209,0.9735431254660843,0.9509912446435074,0.20125893985523896,1.997967327342314,0.0014501459458295036,1.1536415885476505,3.354318001691033
202412220423_train_yolo11s_sample_epochs500,sample,val_last,0.7115834921819856,0.9843775651249335,0.6812730396327692,0.9815302093149955,0.9602066408642759,0.16402497011072495,1.5586965224322151,0.0013197169584386488,0.8327764623305377,2.5568176718319164
202411241458_train_yolo11m-WaveletPool_sample_epochs500,sample,val_best,0.7012597361949805,0.9754858084246867,0.6707901726139021,0.954037597205921,0.9154562758158562,0.2559185028076172,5.168963881099925,0.001130384557387408,2.36663257374483,7.7926453422097595
202411241458_train_yolo11m-WaveletPool_sample_epochs500,sample,val_last,0.6967321880458464,0.9789147936507934,0.6653785652008521,0.9751694226776932,0.9539423231416179,0.28756225810331454,3.891536768744974,0.0013505711274988512,2.658663076512954,6.8391126744887405
202412170328_train_yolo11x-AIFI_sample_epochs500,sample,val_best,0.7094599647268349,0.9871635249042143,0.678604013596015,0.9796039873025195,0.9614064983122986,0.07719853345085594,5.894966686473174,0.010181875789866728,0.6101061316097484,6.592453227323644
202412170328_train_yolo11x-AIFI_sample_epochs500,sample,val_last,0.7252566706680134,0.9892303876493125,0.6959262576700912,0.9845504423076236,0.9665307598847993,0.07558710434857538,5.522872419918285,0.0007180606617647058,0.9183631223790786,6.517540707307703
202411151613_train_yolo11l_sample_epochs500,sample,val_best,0.719948049532045,0.989293184149184,0.690020812352363,0.9785294989722676,0.9727138842757088,0.24859624750473922,13.154796993031221,0.0010251998901367188,0.6211631438311409,14.025581584257239
202411151613_train_yolo11l_sample_epochs500,sample,val_last,0.7242630996205504,0.9905038095238093,0.6946807985201883,0.9779031747171874,0.973516447419722,0.2682194990270278,13.265663034775677,0.0010181875789866729,0.9045208201688879,14.43942154155058
202412112125_train_yolo11x-GlobalEdgeInformationTransfer3_sample_epochs500,sample,val_best,0.7086539950153831,0.9845441442767755,0.6779995339863394,0.9606161283948549,0.9562461541956354,0.12886944939108455,11.207154217888327,0.000785378848805147,1.038667734931497,12.375476781059714
202412112125_train_yolo11x-GlobalEdgeInformationTransfer3_sample_epochs500,sample,val_last,0.6959005949425798,0.9826259503597701,0.6640422221184475,0.9770352165160757,0.9568180092882662,0.14037665198830995,11.435996784883388,0.0008190379423253676,1.1150402181288774,12.6922326929429
202412082036_train_yolo11s-C3k2-EMSC_sample_epochs500,sample,val_best,0.7145652097108837,0.9821524157270919,0.6848332979313049,0.9766140370156834,0.9512925598747797,0.14213113223805146,2.2278477163875805,0.0007713542265050552,1.532283951254452,3.9030341541065887
202412082036_train_yolo11s-C3k2-EMSC_sample_epochs500,sample,val_last,0.694625878770467,0.9804697887279268,0.6628654443307492,0.9623593402457656,0.961024876008903,0.23758972392362707,1.8231854719274183,0.0007419025196748622,2.110395712011001,4.171912810381721
202412112126_train_yolo11n-C3k2-IDWC_sample_epochs500,sample,val_best,0.7141348032028416,0.978385839670731,0.6847735769286316,0.9436469307205211,0.9385121613597549,0.23154230678782742,1.7882347106933594,0.00071104835061466,5.164853264303769,7.18534133013557
202412112126_train_yolo11n-C3k2-IDWC_sample_epochs500,sample,val_last,0.7003164332140448,0.9778439462687092,0.6694800428746376,0.9740732541619951,0.9368435723747359,0.4845100290635053,1.2552724165074964,0.0006759867948644302,4.802306960610782,6.542765392976648
202412161458_train_yolo11n-AIFI_sample_epochs500,sample,val_best,0.6827521937611094,0.9682297857768829,0.6510324613149123,0.9670215834862969,0.9135913251732889,0.3301760729621438,2.0320163053624767,0.000697023728314568,3.3471836763269764,5.710073078379912
202412161458_train_yolo11n-AIFI_sample_epochs500,sample,val_last,0.6862873727678281,0.9814694942528733,0.6534893592694898,0.9827848465388386,0.9361163847186477,0.27659219854018263,1.5497319838579964,0.000704036039464614,2.2626946954166187,4.089722913854263
202411230905_train_yolo11x-C3k2-WTConv_sample_epochs500,sample,val_best,0.7111787132216881,0.9907307936507934,0.6801173709517875,0.9786064619558975,0.9784102820613005,0.25264515596277576,40.983073851641485,0.000983126023236443,0.5795983707203585,41.81630050434786
202411230905_train_yolo11x-C3k2-WTConv_sample_epochs500,sample,val_last,0.7223367156560949,0.9898599999999999,0.6926119062845498,0.9800592909951391,0.9754002673061399,0.2613235922420726,41.11971294178682,0.0009424546185661765,0.5947786218979779,41.97675761054544
202412081157_train_yolo11x-C3k2-RAB_sample_epochs500,sample,val_best,,,,,,,,,,
202411161320_train_yolo11l-C3k2-SCConv_sample_epochs500,sample,val_best,0.7021448043952948,0.9853064077870972,0.6706824040184278,0.9634241601816079,0.9526952288144578,0.28470824746524587,7.981883778291589,0.001804968890021829,3.515763843760771,11.78416083840763
202411161320_train_yolo11l-C3k2-SCConv_sample_epochs500,sample,val_last,0.7104973022789697,0.9845107246376809,0.6800513664613351,0.9694859992846381,0.9729048533647648,0.6478379754459156,7.877540588378907,0.0019634471220128674,5.475511270410874,14.002853281357709
202411152140_train_yolo11s-C3k2-SCConv_sample_epochs500,sample,val_best,0.7038573725671575,0.9844257040998216,0.6726831135079726,0.9804019616522414,0.9593086155050382,0.27973371393540325,5.63518860760857,0.0012075199800379134,1.8252050175386316,7.7413348590626425
202411152140_train_yolo11s-C3k2-SCConv_sample_epochs500,sample,val_last,0.7078964255362581,0.9809083854563944,0.6775617633229095,0.9801974473553361,0.9672618975514392,0.3506309845868279,2.450126760146197,0.0015525256886201747,2.795800040749943,5.598110311171588
202412101218_train_yolo11n-GlobalEdgeInformationTransfer1_sample_epochs500,sample,val_best,0.7062873750465979,0.9814718180584844,0.6757113258230549,0.9609995205477737,0.9643304084365557,0.372917511883904,4.446503695319681,0.0016408808091107538,1.8590310040642233,6.68009309207692
202412101218_train_yolo11n-GlobalEdgeInformationTransfer1_sample_epochs500,sample,val_last,0.7053277263990889,0.9817106137566135,0.6746185166926972,0.9693708609579698,0.9466199034625183,0.36892750683952785,3.23024497312658,0.001539903528550092,0.9601943633135628,4.560906746808221
